NM_VOTAVEL,DS_CARGO,QT_VOTOS
DONIZETE BARBOSA DE OLIVEIRA,PREFEITO,3910
RONALDO DE OLIVEIRA,PREFEITO,2265
AÉCIO GUEDES SOARES,PREFEITO,8592
JOSE RONALDO DA SILVA,PREFEITO,1618
LUCIANO RABELO VELOSO,PREFEITO,5351
ALMIRO MARQUES DE LACERDA FILHO,PREFEITO,3562
RAIMUNDO NONATO PEREIRA LUNA,PREFEITO,1573
LUIZ FORTUCE,PREFEITO,4481
LEONARDO AUGUSTO MOURA BRAGA,PREFEITO,2065
JULVAN REZENDE ARAUJO LACERDA,PREFEITO,3698
GERALDO EUSTÁQUIO MAIA DA SILVA,PREFEITO,825
LETICIA APARECIDA BELATO MARTINS,PREFEITO,3512
JOSÉ FLORISVAL DE ORNELAS,PREFEITO,6509
ÚLTIMO BITENCOURT DE FREITAS,PREFEITO,8009
ALEXANDRE AUGUSTO FERNANDES DE OLIVEIRA,PREFEITO,9011
VALDEVINO DE SOUZA,PREFEITO,4128
SAULO FALEIROS CARDOSO,PREFEITO,14618
JOSE GOMES DA SILVA,PREFEITO,1784
PAULO SERGIO GORNATI,PREFEITO,6155
JOSÉ POCAI JUNIOR,PREFEITO,5944
HUMBERTO GUIMARAES SOUTO,PREFEITO,199751
FABIANO COSTA SOARES,PREFEITO,2664
OLIMPIO FRANCISCO DE MOURA,PREFEITO,2907
JOSÉ MARIA DE CASTRO MATOS,PREFEITO,1370
JOSE DE MATOS VIEIRA NETO,PREFEITO,1579
OTAVIO LUIZ DE SOUZA,PREFEITO,2820
IOANNIS KONSTANTINOS GRAMMATIKOPOULOS,PREFEITO,36849
JOÃO BATISTA MARÇAL TEIXEIRA,PREFEITO,8999
SÉRGIO ARLINDO CERÁVOLO PAOLIELLO,PREFEITO,5949
ELSON DA SILVA SANTOS JUNIOR,PREFEITO,4901
EDUARDO ANTONIO DE OLIVEIRA,PREFEITO,1576
ROBERTO DE JESUS,PREFEITO,6992
HELIO PINTO DE CARVALHO,PREFEITO,1727
GERALDO MAGELA GOMES,PREFEITO,1478
CRISTIANO ANTONIO CAETANO JUNHO,PREFEITO,1812
JOSE HEITOR GUIMARAES DE CARVALHO,PREFEITO,3318
LUIZA MARIA LIMA MENEZES,PREFEITO,5214
GILMAR MENDES FERRAZ,PREFEITO,4616
FLAVIA PEREIRA DORNELES,PREFEITO,1643
LAURA MARIA CARNEIRO DE ARAUJO,PREFEITO,7440
VITOR PENIDO DE BARROS,PREFEITO,33414
WALTER JUNIOR LADEIA BORBOREMA,PREFEITO,1588
LINDON CARLOS RESENDE DA CRUZ,PREFEITO,5547
JURACY FAGUNDES JACOME,PREFEITO,2109
CELSON JOSE DE OLIVEIRA,PREFEITO,6465
EUZÉBIO RODRIGUES LAGO,PREFEITO,16425
AILTON ANTONIO GUIMARAES ROSA,PREFEITO,3188
MILTON COELHO DE OLIVEIRA,PREFEITO,8356
FÁBIO RODRIGUES GONÇALVES,PREFEITO,3184
ARLEY COSTA MENDES,PREFEITO,1973
LUIZ ENEIAS DE OLIVEIRA,PREFEITO,1196
RONE DOUGLAS DIAS,PREFEITO,2170
CRISTINE LASMAR DE MOURA RESENDE,PREFEITO,11323
ANTONIO CARLOS DE OLIVEIRA,PREFEITO,1085
CARLOS ALBERTO DE CASTRO PEREIRA,PREFEITO,1103
GERALDO MAGELA BARBOSA,PREFEITO,1465
JOSE ANTONIO DELGADO,PREFEITO,1593
EBIO JOSE VITOR,PREFEITO,3037
HELIO MARCIO CAMPOS,PREFEITO,9026
MAURICIO LEMES DE CARVALHO,PREFEITO,15188
JULIO ERNESTO DE GRAMMONT MACHADO DE ARAUJO,PREFEITO,20770
JOSIMAR TELES DA COSTA,PREFEITO,2402
JOSE NILSON BISPO DE SA,PREFEITO,1986
VALMIR SILVA COSTA,PREFEITO,5060
EUJACIO DA SOLEDADE RODRIGUES,PREFEITO,2123
AFRANIO ALVES MENDONÇA NETO,PREFEITO,1440
MARCO AURÉLIO RABELO GOMES,PREFEITO,3071
VICENTE CRUZ DE OLIVEIRA,PREFEITO,879
HIRAM VINICIUS MENDONÇA FINAMORE,PREFEITO,2809
MARCELO FERNANDES DE ALMEIDA,PREFEITO,2546
MARIO REIS FILGUEIRAS,PREFEITO,6932
OLAVO REMIGIO CONDE,PREFEITO,24584
JOSE TIBURCIO DO PRADO NETO,PREFEITO,6041
SERGIO WAGNER BIZARRIA,PREFEITO,6177
JOSÉ VALADARES BAHIA,PREFEITO,6915
ELIAS DINIZ,PREFEITO,17502
ANTONIO CLARET MOTA ESTEVES,PREFEITO,5689
EDILSON RODRIGUES,PREFEITO,2262
LUCAS NASCIMENTO DE ALMEIDA,PREFEITO,1181
RONALDO AGAPITO DE SA,PREFEITO,855
CARLOS RENATO LIMA REIS,PREFEITO,26148
VALMIR MORAIS DE SÁ,PREFEITO,2269
JOSE EUSTAQUIO RODRIGUES ALVES,PREFEITO,41121
DEIRO MOREIRA MARRA,PREFEITO,22868
PAULO AZIZ DAHER,PREFEITO,2247
MARCELO RODRIGUES DA SILVA,PREFEITO,3461
EVANDRO RIBEIRO DE CARVALHO,PREFEITO,2205
LUCIANO BALARINI GONÇALVES,PREFEITO,1809
SILVANA MARIA ARAUJO MENDES,PREFEITO,6965
ADRIANO TEODORO DO CARMO,PREFEITO,1933
JOÃO BATISTA VIANA,PREFEITO,1707
ITAMAR JOSE DA COSTA,PREFEITO,1847
SILVANIR SIMPLÍCIO DE ANDRADE,PREFEITO,1478
JOSIMAR SILVA DE FREITAS,PREFEITO,3492
SEBASTIÃO CARLOS CHAVES DE MEDEIROS,PREFEITO,3135
ANTÔNIO JOSE GUNDIM,PREFEITO,1327
CRISTIANO ELIAS DOS REIS COSTA,PREFEITO,23270
IDILIO NEVES MOREIRA,PREFEITO,1052
RAFANELI SALLES DE ALMEIDA,PREFEITO,1439
JOÃO DE CASTRO BARBOSA,PREFEITO,1227
GILMAR TEODORO DE SÃO JOSÉ,PREFEITO,3986
FERNANDO MARANGONI,PREFEITO,5246
HAMILTON RESENDE FILHO,PREFEITO,5024
GERALDO MARTINS GODOY,PREFEITO,2972
ORLANDO LUCIANO SARTORI,PREFEITO,1549
EUSTAQUIO DE CARVALHO BRAGA,PREFEITO,6573
GILMAR APARECIDO REZENDE DE CASTRO,PREFEITO,1308
EDINILSON DORNELAS LOPES,PREFEITO,3348
ANTONIO MAYRINK BORDONI,PREFEITO,1903
JOSE FERNANDES NETO,PREFEITO,1596
ROGÉRIO MENDES DA COSTA,PREFEITO,2065
AILTON COSTA FARIA,PREFEITO,3359
ARTUR CARLOS DA SILVA,PREFEITO,2596
EDILEIDE LOPES DOS SANTOS,PREFEITO,2076
ANTONIO OSMAR DA SILVA,PREFEITO,3223
RUI GOMES NOGUEIRA RAMOS,PREFEITO,2084
JOSÉ CARLOS DE OLIVEIRA MARQUES,PREFEITO,5499
HELENA MARIA DA SILVEIRA,PREFEITO,3464
RICARDO MARTINS DE ARAUJO,PREFEITO,1475
ENOGHALLITON DE ABREU ARRUDA,PREFEITO,5182
MARCELLA MACHADO RIBAS FONSECA,PREFEITO,15471
ADRIANO CARVALHAES GRAVINA,PREFEITO,4317
MARCILIO VALADARES,PREFEITO,10910
ADEBERTO JOSE DE MELO,PREFEITO,9574
PAULO ROBERTO BARBOSA,PREFEITO,3745
ALVARO DE OLIVEIRA PINTO JUNIOR,PREFEITO,3060
OZEAS DA SILVA CAMPOS,PREFEITO,11334
WAGNER MOL GUIMARÃES,PREFEITO,16278
JOSÉ GERALDO ALVES DE ALMEIDA,PREFEITO,2089
LEANDRO RAMOS SANTANA,PREFEITO,3320
SILVANEI BATISTA SANTOS,PREFEITO,13438
REGINALDO BARBOSA GONÇALVES,PREFEITO,5544
GILDESIO SAMPAIO DE OLIVEIRA,PREFEITO,4329
RAFAEL TADEU SIMOES,PREFEITO,49922
JULIANO CLÁUDIO DA SILVA,PREFEITO,1808
RENATO FERREIRA DE OLIVEIRA,PREFEITO,5477
SERGIO ANTONIO CARVALHO DE AZEVEDO,PREFEITO,37284
LESTER REZENDE DANTAS JUNIOR,PREFEITO,3283
ANUAR ARANTES AMUI,PREFEITO,8852
JOHN WERCOLLIS DE MORAIS,PREFEITO,1334
DENISE ALVES DE SOUZA NEVES,PREFEITO,3461
JAZON HAROLDO SILVA ALMEIDA,PREFEITO,3061
RICARDO DE CASTRO MACHADO,PREFEITO,2418
LAURO DE OLIVEIRA,PREFEITO,1721
JOAO CARLOS NOGUEIRA DE CASTILHO,PREFEITO,8563
JOSÉ ROBERTO FILHO,PREFEITO,2844
JOSÉ LÚCIO CAMPOS,PREFEITO,1726
CÉLIO PEREIRA DE SOUZA,PREFEITO,1132
SERGIO SILVEIRA SOARES,PREFEITO,3724
VICENTE RUFINO OSORIO,PREFEITO,5034
JOSE MARIA ANDRE DE BARROS,PREFEITO,3778
JOSE CARLOS LOPES,PREFEITO,2465
AURÉLIO SUENES DE RESENDE,PREFEITO,4540
DIOGO SCARABELLI JUNIOR,PREFEITO,5349
MANOEL DA SILVA RIBEIRO,PREFEITO,2068
LIEDSON SILVA MARTINS,PREFEITO,2566
ELTON MARQUES DE ALMEIDA,PREFEITO,3062
MOACIR MARTINS DA COSTA JUNIOR,PREFEITO,68656
ANA ROSA MENDONÇA LASMAR,PREFEITO,1683
MARIA AUXILIADORA RIBEIRO,PREFEITO,3009
ADRIANO DE ALMEIDA ALVARENGA,PREFEITO,4797
GILBERTO GONÇALVES DE AGUILAR,PREFEITO,1831
SILVÉRIO JOAQUIM APARECIDO DA LUZ,PREFEITO,1129
LUCIO MARCOS DA SILVEIRA,PREFEITO,2267
ADAIR DORNAS DOS SANTOS,PREFEITO,1317
ORMEU RABELLO FILHO,PREFEITO,2808
VALDEMIR DIOGENES DA SILVA,PREFEITO,4104
MARCUS VINICIUS DE ALMEIDA RAMOS,PREFEITO,10223
ANTÔNIO JOSÉ COTA,PREFEITO,5132
MARCOS PASCOALINO,PREFEITO,6259
INÁCIO DE LOYOLA MACHADO FERREIRA,PREFEITO,2340
ILDEMAR VICENTE DE FARIA,PREFEITO,3813
HIGINO ZACARIAS DE SOUSA,PREFEITO,1752
RICARDO CEZAR CANDIDO DA SILVA,PREFEITO,996
LUIZ ANTONIO MEDEIROS,PREFEITO,3134
JOAO RODRIGUES DOS REIS,PREFEITO,1479
JOSE MARIA PINTO DA SILVA,PREFEITO,2495
OSVAN OTAVIO DAVID MIRANDA,PREFEITO,3315
ALENCAR SOUTO DE OLIVEIRA,PREFEITO,2655
WANDER JOSÉ GODDARD BORGES,PREFEITO,35792
ELZIO MARIA DE PINHO,PREFEITO,5439
WESLEY DE SANTI DE MELO,PREFEITO,7932
JOSE ANTONIO PRATES,PREFEITO,11994
OXIMANE PEIXOTO BOMFIM,PREFEITO,2030
LERIS FELISBERTO BRAGA,PREFEITO,14112
WILMA PEREIRA MAFRA RIBEIRO,PREFEITO,2285
ISMAEL TEIXEIRA DE PAIVA,PREFEITO,1425
VICENTE PAULO DA SILVA,PREFEITO,1870
SINARA RAFAELA CAMPOS,PREFEITO,2962
ALBERTINO TEIXEIRA DA CRUZ,PREFEITO,1884
SONIA MARIA UNTALER,PREFEITO,1943
RONALDO MAGNO DE MOURA,PREFEITO,1913
EDSON APARECIDO FREIRE DOS SANTOS,PREFEITO,1461
ARTUR RODRIGUES DA SILVA,PREFEITO,2019
BELCHIOR ANTÔNIO DA SILVA,PREFEITO,3529
CHRISTIANO AUGUSTO XAVIER FERREIRA,PREFEITO,85270
GERALDO SCHIAVO,PREFEITO,5962
REINALDO DAS DORES SANTOS,PREFEITO,3371
MARLON CAIRES SOUZA,PREFEITO,1788
RODOLFO LIMA NETO,PREFEITO,3655
GERALDO DONIZETI DE CARVALHO,PREFEITO,3522
JOSE RESENDE NOGUEIRA,PREFEITO,1680
LUIZ FERNANDO OSORIO,PREFEITO,2011
ADEMILSON LUCAS FERNANDES,PREFEITO,2461
FIRMINO TON,PREFEITO,2153
JEFFERSON GONÇALVES MENDES,PREFEITO,13698
JOSE HUMBERTO RIBEIRO,PREFEITO,1593
ISPER SALIM CURI,PREFEITO,7607
RENATO TEODORO DA SILVA,PREFEITO,2841
MARIA JUCELIA BAESSO PROCACI,PREFEITO,1780
DALTON SOARES SILVA,PREFEITO,3692
WALLACE SEBASTIAO VASCONCELOS LEITE,PREFEITO,1491
ADAILTON FONSECA DA CUNHA,PREFEITO,1268
ALEIRIS SOARES VIANA,PREFEITO,1792
ROSA LUZIA MENDES ASSIS,PREFEITO,2926
LUZIA TEIXEIRA DE MELO,PREFEITO,10283
ANDRÉ FERREIRA TORRES,PREFEITO,2369
ANTONIO ALVES NOGUEIRA FILHO,PREFEITO,2011
EVANDRO PAIVA CARRARA,PREFEITO,7594
PAULO ROBERTO PIRES,PREFEITO,1867
ALCIONE FERREIRA DE ALBUQUERQUE LIMA,PREFEITO,1563
JOÃO ANTÔNIO BARACHO JÚNIOR,PREFEITO,2150
EMERSON PINHEIRO RUAS,PREFEITO,2978
EDMILSON APARECIDO DA COSTA,PREFEITO,9717
AILSON FABIANO RIBEIRO,PREFEITO,2745
JORGE ANTÔNIO DE SÁ,PREFEITO,910
GILSON SANTIAGO ARANHA JUNIOR,PREFEITO,1329
CARLOS ALBERTO DE AZEVEDO,PREFEITO,10464
JEFFERSON BENEDITO RENNO,PREFEITO,2963
JOSE ANTONIO COELHO,PREFEITO,2026
MARCELO PINHEIRO DO AMARAL,PREFEITO,13088
DOMINGOS SAVIO DE MIRANDA PAIVA,PREFEITO,1453
ADEMILSON LOPES DA SILVEIRA,PREFEITO,2156
PEDRO PAULO DOS SANTOS,PREFEITO,1207
ANTÔNIO DONIZETI DURSO,PREFEITO,2921
FERNANDO CESAR FERNANDES,PREFEITO,1011
VALMIR JOSÉ GUIMARÃES,PREFEITO,1185
RICARDO SILVINO RODRIGUES MILAGRES,PREFEITO,2780
JOSÉ DE AGUIAR MOURÃO SOBRINHO,PREFEITO,1370
SÔNIA MARIA COELHO MILAGRES,PREFEITO,3724
MARILDA ENI COELHO REIS,PREFEITO,4055
MARCO ANTONIO MANSUR MOREIRA,PREFEITO,831
LEONARDO DO CARMO COELHO,PREFEITO,1397
ALAOR JOSE MACHADO,PREFEITO,490
PAULO GIOVANI SILVEIRA DE MELO,PREFEITO,4544
IRAN PACHECO CORDEIRO,PREFEITO,1867
LUIZ GONZAGA RIBEIRO NETO,PREFEITO,2829
JOSE DA CUNHA VASCONCELOS FILHO,PREFEITO,769
ELPIDIO RIBEIRO NETO,PREFEITO,1716
GUILHERME SIMOES NEVES,PREFEITO,7267
LEONE MACIEL FONSECA,PREFEITO,50698
WARLEM ANTONIO JOSE BARBOSA,PREFEITO,3431
JANIO DAVID LAMAS,PREFEITO,1227
VITOR NERY DE MORAIS,PREFEITO,2338
LAERTE AUGUSTO DE SOUZA,PREFEITO,4867
ANTONIO JOSE GONÇALVES DA SILVA,PREFEITO,810
MARIA DAS NEVES BELTRAME ANDRADE,PREFEITO,1822
EMERSON FERREIRA MACIEL,PREFEITO,1883
ENEIAS MACHADO DE SOUZA,PREFEITO,2592
ELIAS RIBEIRO DE SOUZA,PREFEITO,1768
JOSE ADAIR DA SILVA,PREFEITO,2454
JOSE ALFREDO DE CASTRO PEREIRA,PREFEITO,4220
EVANILSO APARECIDO CARNEIRO,PREFEITO,11283
MERITON BALDUÍNO ALVES,PREFEITO,2670
JOSÉ SEBASTIÃO DE OLIVEIRA,PREFEITO,2366
WALACE FERREIRA PEDROSA,PREFEITO,1870
CLEUDISON LUIZ DA SILVA,PREFEITO,1561
MARCILIO MOREIRA BARROS,PREFEITO,3441
OZANAM OLIVEIRA DE FARIAS,PREFEITO,1881
WELLERSON VALÉRIO MOREIRA,PREFEITO,1346
JOÃO PAULINO RODRIGUES NETO,PREFEITO,2212
ANTONIO ANDRE NASCIMENTO GUIMARAES,PREFEITO,3702
ANTÔNIO CARLOS NORONHA BICALHO,PREFEITO,5079
JOAO LEOPOLDO DUMONT,PREFEITO,1380
ELOI RADIN ALLERAND,PREFEITO,6666
SEIJI EDUARDO SEKITA,PREFEITO,9498
ANTONIO AUGUSTO RESENDE MAIA,PREFEITO,6524
PAULO SERGIO LEANDRO DE OLIVEIRA,PREFEITO,2769
DIEGO ALVARO DOS SANTOS SILVA,PREFEITO,5522
ANTONIO LACERDA FILHO,PREFEITO,1914
VANDEIR PAULINO DA SILVA,PREFEITO,1589
JOSÉ CARLOS DA SILVA,PREFEITO,1400
MARCOS ROGERIO DA SILVA,PREFEITO,1496
JOSE ROBERTO GARIFF GUIMARAES,PREFEITO,2065
CLAUDIO JOSE SANTOS ROCHA,PREFEITO,1586
CLEBER DA MATA SABINO,PREFEITO,1532
APARECIDA NILVA DOS SANTOS,PREFEITO,1872
CARLOS ALBERTO MOTA DIAS,PREFEITO,1762
DENIZE VILHENA BORGES SILVA,PREFEITO,1584
DANILO WAGNER VELOSO,PREFEITO,8470
JOSE NUNES DE OLIVEIRA,PREFEITO,3639
NIVALDO JOSE DE ANDRADE,PREFEITO,22252
SERGIO LÚCIO CAMILO,PREFEITO,3768
GENTIL PEREIRA MENDONÇA,PREFEITO,2216
JOAQUIM COELHO DA SILVA,PREFEITO,2779
ARISMAR ARAÚJO BARBOSA,PREFEITO,1760
MÔNICA CRISTINE MENDES DE SOUSA,PREFEITO,7526
PEDRO DE QUEIROZ BRAGA,PREFEITO,4611
ERNANDES JOSE DA SILVA,PREFEITO,7418
CELIA SHIGUEMATSU CAVALCANTI FREITAS LIMA,PREFEITO,13415
WAGNER DAMIÃO,PREFEITO,2824
CUSTODIO RIBEIRO GARCIA,PREFEITO,2126
RICARDO ARAUJO SOUZA,PREFEITO,2267
NEWTON GABRIEL AVELAR,PREFEITO,3273
MARCELO MEIRELES DE MENDONÇA,PREFEITO,2927
ROLDAO DE FARIA MACHADO,PREFEITO,2130
AUGUSTO HART FERREIRA,PREFEITO,3694
CLAUDIOMIR JOSE MARTINS VIEIRA,PREFEITO,1221
JOÃO BATISTA VINHA,PREFEITO,2401
AGUINALDO TIMOTE FERREIRA BESSA,PREFEITO,3125
BELARMINO LUCIANO LEITE,PREFEITO,3373
WALKER AMERICO OLIVEIRA,PREFEITO,14627
SEBASTIAO EXPEDITO QUINTAO DE ALMEIDA,PREFEITO,626
SANDRO LISBOA MARTINS,PREFEITO,991
MARISA MACIEL DE SOUZA,PREFEITO,1683
DENILSON SILVA REIS,PREFEITO,5029
JOSE CARLOS PIMENTA,PREFEITO,2706
JACINTO ALAIR DE PAULA,PREFEITO,2267
DAURO MARTINS VIDAL,PREFEITO,2166
DANILO MENDES RODRIGUES,PREFEITO,9431
JOAQUIM CARLOS DA SILVA NETO,PREFEITO,1680
LILIANE MACHADO COSTA VENÂNCIO,PREFEITO,2039
LEONARDO JOSÉ DE OLIVEIRA,PREFEITO,843
ALCIDES HIPOLITO DA ASSUNÇAO FERREIRA FILHO,PREFEITO,1645
MARCILIO DE PAULA BOMFIM,PREFEITO,4605
JOSÉ DIOGO DRUMOND NETO,PREFEITO,5044
DANIEL BATISTA SUCUPIRA,PREFEITO,30293
DOUGLAS WILLKYS ALVES OLIVEIRA,PREFEITO,24417
JOSÉ ANTONIO DO NASCIMENTO,PREFEITO,2648
JULIO ANDRE DE OLIVEIRA,PREFEITO,3382
IEDER WASHINGTON DE OLIVEIRA,PREFEITO,5577
ANTONIO RODRIGUES DA SILVA,PREFEITO,1903
EDIO DONIZETI LEME,PREFEITO,2468
LUCIENE TEIXEIRA DE MORAES,PREFEITO,2834
CLAUDIO COSME PEREIRA DE SOUZA,PREFEITO,17872
ADAIR DIVINO DA SILVA,PREFEITO,9537
LUIZ ROBERTO LAURINDO DIAS,PREFEITO,20584
JOSE PAULO BRETAS CABRAL,PREFEITO,2786
CARLOS ALVES DE OLIVEIRA,PREFEITO,7704
CARLINHOS BARBOSA XAVIER,PREFEITO,5614
ELIVELTO CARVALHO,PREFEITO,1894
GILMAR DE ASSIS RODRIGUES,PREFEITO,4815
MARCO ANTONIO ANDRADE,PREFEITO,6097
PAULO PIAU NOGUEIRA,PREFEITO,75251
ODELMO LEÃO CARNEIRO SOBRINHO,PREFEITO,250390
EDSON TEIXEIRA FILHO,PREFEITO,17335
GILNÁDIO RODRIGUES DA SILVA,PREFEITO,1307
JOSÉ GOMES BRANQUINHO,PREFEITO,19527
JOÃO DE FREITAS LEAL,PREFEITO,1621
RONALDO FERREIRA DE MORAIS,PREFEITO,1591
RUTILIO EUGENIO CAVALCANTI FILHO,PREFEITO,3322
FREDERICO BRUM DE CARVALHO,PREFEITO,3813
NEUDMAR FERREIRA CAMPOS,PREFEITO,3169
SAMUEL ALVES DE MATOS,PREFEITO,1846
VIRGILIO TACITO PENALVA COSTA,PREFEITO,1868
ANTÔNIO SILVA,PREFEITO,32155
ANTONIO PEDRO MONTEZUMA NETO,PREFEITO,2544
VALQUIRIA RODRIGUES CARDOSO,PREFEITO,5859
JACQUES SOARES GUIMARAES,PREFEITO,7860
WILTON LEITE MADUREIRA,PREFEITO,2368
EDILSON NUNES DE ARAUJO,PREFEITO,2013
GERALDO JOSE DO CARMO,PREFEITO,2200
LUIZ CARLOS DA SILVA,PREFEITO,1521
ILCE ALVES ROCHA PERDIGÁO,PREFEITO,29333
ADRIANO DOS SANTOS,PREFEITO,1678
DIOGÉNES TIMO SILVA,PREFEITO,3620
BOBY CHARLES DAS DORES LEÃO,PREFEITO,3412
ARNALDO DE OLIVEIRA BRAGA,PREFEITO,1882
CARLOS EDUARDO COSTA NEGREIROS,PREFEITO,3102
IRAN SILVA COURI,PREFEITO,11621
ANGELO CHEQUER,PREFEITO,23945
JORGE LUIZ GOMES DA COSTA,PREFEITO,1533
EDUARDO MONTEIRO DE MORAIS,PREFEITO,13207
GERALDO MAGELA ELOI,PREFEITO,1195
LAERTH VIEIRA FILHO,PREFEITO,4395
GUSTAVO DE ALMEIDA GONÇALVES,PREFEITO,1459
ALFEU OLIVEIRA AMADOR FILHO,PREFEITO,5075
VALDECY JOSE DE SOUZA,PREFEITO,3880
