NM_VOTAVEL,DS_CARGO,QT_VOTOS
ULISSES SUAID PORTO GUIMARÃES BORGES,PREFEITO,5279
BRUNO LAMOUNIER FURTADO,PREFEITO,1207
EDMAR CASSALHO MOREIRA DIAS,PREFEITO,6855
FABRICIO DOS SANTOS SIMONI,PREFEITO,4293
TALES TADEU TAVARES,PREFEITO,5833
LUIZ FERNANDO TAVARES,PREFEITO,6207
MARCONDES DE OLIVEIRA E SOUZA,PREFEITO,1642
NIVALDO DONIZETE MUNIZ,PREFEITO,8051
FRADIQUE GURITA DA SILVA,PREFEITO,6113
JOSÉ CARLOS PEREIRA DE ALMEIDA,PREFEITO,1857
ALISSON DE ASSIS CARVALHO,PREFEITO,22210
ROBSON MACHADO DE SA,PREFEITO,4313
RENATO SOARES DE FREITAS,PREFEITO,4958
PAULO CEZAR DE ALMEIDA,PREFEITO,4053
JOSE EUGENIO DA SILVA,PREFEITO,8498
EDUARDO CARDOSO GARCIA,PREFEITO,2760
SEBASTIÃO HILÁRIO BITENCOURT,PREFEITO,3097
RODRIGO MORAES LAMOUNIER,PREFEITO,6349
ADEILSON MEDEIROS DE OLIVEIRA,PREFEITO,1735
UALISSON CARVALHO SILVA,PREFEITO,4053
CRISTIANO XAVIER DA COSTA,PREFEITO,1874
ADELMO DE REZENDE MOREIRA,PREFEITO,2181
TADEU FILIPE FERNANDES DE ABREU,PREFEITO,11687
LUIZ CESAR GUILHERME,PREFEITO,2537
ELMO ALVES DO NASCIMENTO,PREFEITO,3886
CLEIDIMAR ZANOTTO,PREFEITO,4230
AROLDO MIRANDA DA SILVA,PREFEITO,2497
PETRONIO MINEIRO DE SOUZA,PREFEITO,5515
JOSÉ EDUARDO TERRA VALLORY,PREFEITO,3806
CELSO GONÇALVES ANTUNES,PREFEITO,4392
MARCOS BELLAVINHA,PREFEITO,1620
WASHINGTON LUIZ GRAVINA TEIXEIRA,PREFEITO,6599
PAULO CESAR DE CARVALHO PETTERSEN,PREFEITO,6764
WELINGTON MOREIRA DE OLIVEIRA,PREFEITO,17516
HEBER GOMES NEIVA,PREFEITO,3512
NIVALDO MORAES SANTANA,PREFEITO,3187
TOVAR DOS SANTOS BARROSO,PREFEITO,2479
ACÁSSIO VIEIRA DE AZEREDO COUTINHO,PREFEITO,6842
GODOFREDO JOSÉ CALDEIRA REIS,PREFEITO,3823
ALMIR RESENDE JUNIOR,PREFEITO,3954
YURI VAZ DE OLIVEIRA,PREFEITO,5336
EDSON DE SOUZA VILELA,PREFEITO,6647
CÉSAR CAETANO DE ALMEIDA FILHO,PREFEITO,8139
SEBASTIÃO CEZAR LEMOS,PREFEITO,5064
MARIO CESAR SILVEIRA E VIEIRA,PREFEITO,1436
GERALDO ANTÔNIO DA SILVA,PREFEITO,6371
CÁSSIO ROSA DE ASSUNÇÃO,PREFEITO,3490
JOSÉ RAIMUNDO DOS SANTOS,PREFEITO,1902
ANTONIO DE PADUA DE CARVALHO MOURA,PREFEITO,1764
JOSÉ ANTONIO DE CARVALHO,PREFEITO,1394
LUIZ OTÁVIO GONÇALVES,PREFEITO,1196
DÁRIO BORGES DE REZENDE,PREFEITO,1419
WILLIAN LOBO DE ALMEIDA,PREFEITO,16798
JOSÉ ALVES PARREIRA,PREFEITO,2047
GERSON LOBO NEIVA,PREFEITO,1329
FUVIO LUZIANO SERAFIM,PREFEITO,3286
JOSE BARBOSA FILHO,PREFEITO,1746
DIOGO CURI HAUEGEN,PREFEITO,6588
LUIZ ANTONIO DE SOUSA,PREFEITO,617
OTAVIANO FERREIRA DE LAIA,PREFEITO,2549
ELSON MARTINS DE MEDEIROS,PREFEITO,3258
CARLOS RODRIGUES DA SILVA,PREFEITO,2211
DIEGO EUSTÁQUIO SOARES,PREFEITO,3660
JAIR MONTAGNER,PREFEITO,2788
MAURICIO BARBOSA MONTEIRO,PREFEITO,886
EMERSON DAMIÃO DUQUE,PREFEITO,1232
JOSÉ BONIFÁCIO GOMES,PREFEITO,2708
LUIZ GONZAGA CINTRA,PREFEITO,1721
NORBERTO MARCELINO DE OLIVEIRA NETO,PREFEITO,3359
JOSÉ RODRIGUES BARROSO DE ARAÚJO,PREFEITO,6366
MARIA RAIMUNDA DOS SANTOS MARTINS,PREFEITO,1889
SADY RIBEIRO DAMAS,PREFEITO,1841
JERONIMO SANTANA NETO,PREFEITO,1648
GILMAR ORNELAS DO AMARAL,PREFEITO,2240
RUBERVAL JOSÉ GONÇALVES,PREFEITO,3323
ALTAIR ALVIM,PREFEITO,1712
CELSON PIRES DE OLIVEIRA,PREFEITO,9289
JOSÉ AIRTON PEREIRA,PREFEITO,1237
GROSMANE HERMSDORFF,PREFEITO,1921
JOSÉ FERNANDO APARECIDO DE OLIVEIRA,PREFEITO,5383
PROCOPIO CELSO DE FREITAS,PREFEITO,2491
ADILSON GONÇALVES DE OLIVEIRA PAGANELLI,PREFEITO,4106
MAURICIO EUCLIDES VIANA,PREFEITO,4146
CELSO ANTÔNIO DA SILVA,PREFEITO,2405
RUBENS VILELA DOS SANTOS JUNIOR,PREFEITO,3884
JOSÉ DE FREITAS CORDEIRO,PREFEITO,14995
NELMAR DE MORAES FRANCO,PREFEITO,1720
TARCIZIO HENRIQUE ZAGO,PREFEITO,2080
MARIO MARCUS LEÃO DUTRA,PREFEITO,35036
ELIANA GOMES DE MORAIS ANDRADE,PREFEITO,6471
MAURILIO ROBSON MARQUES,PREFEITO,1084
ALEXIS JOSÉ FERREIRA DE FREITAS,PREFEITO,294260
ROSSANO DE OLIVEIRA,PREFEITO,3414
ROBSON ADALBERTO MOTA DIAS,PREFEITO,7978
JOSÉ MAURICIO GOMES,PREFEITO,3283
MARLENE MONTEIRO DE OLIVEIRA PEREIRA,PREFEITO,1545
SOCRATES DE LIMA FILHO,PREFEITO,7583
EMERSON DE CARVALHO ANDRADE,PREFEITO,3789
DIONE MARIA PERES,PREFEITO,8619
MARCOS VINICIUS DA SILVA BIZARRO,PREFEITO,27037
AMARILES SANTOS LIMA,PREFEITO,3150
EDELSON SEBASTIAO FERNANDES MEIRELLES,PREFEITO,1039
FÚVIO OLÍMPIO DE OLIVEIRA PINTO,PREFEITO,1307
JOSE MARCOS ALVES GUIMARÃES,PREFEITO,1995
DJALMA FRANCISCO CARVALHO,PREFEITO,4035
JOSÉ ELCIO DE REZENDE,PREFEITO,1874
RICARDO PEREIRA AZEVEDO,PREFEITO,2665
EDSON SANTOS ALBUQUERQUE,PREFEITO,2473
ADERLANDE MOREIRA VILELA,PREFEITO,2667
ILAERSON FERREIRA DE SOUZA,PREFEITO,2241
AGNALDO FERREIRA DA SILVA,PREFEITO,1315
JOAQUIM JOSE PARANAIBA,PREFEITO,6298
MÔNICA TESSAROLO BALBINO,PREFEITO,1930
SEBASTIÃO ALVES DOS SANTOS,PREFEITO,3234
MAURILIO SOARES GUIMARAES,PREFEITO,29652
MARCO LEANDRO ALMEIDA ARANTES,PREFEITO,5097
REGINALDO SATURNINO CARDOSO,PREFEITO,1617
ELIANA DE FATIMA ALVES,PREFEITO,1771
ERICA MARIA LEAO COSTA,PREFEITO,2422
AILTON LIMA DE PAULA,PREFEITO,1874
AGIDÊ ALVES SANTANA,PREFEITO,2712
GONÇALO VALDIVINO PEREIRA,PREFEITO,2044
JOSE FERNANDO COURA,PREFEITO,2708
FERNANDO JOSÉ PINTO,PREFEITO,2955
MARCOS ROBERTO ESTEVAM,PREFEITO,2636
MARCOS DE ARAUJO LIMA,PREFEITO,2119
ANTONIO PEREIRA DE MORAIS,PREFEITO,2276
MÁRCIA CRISTINA MACHADO AMARAL,PREFEITO,1623
JUSCELINO BRASILIANO ROQUE,PREFEITO,8800
DOMINGOS ANTUNES DE FREITAS,PREFEITO,2249
FARIAS MENEZES DE OLIVEIRA,PREFEITO,2693
GILVAN PINHEIRO DE FARIA,PREFEITO,5932
ROMILSON ALVES,PREFEITO,2134
RODRIGO MAGALHAES COELHO,PREFEITO,2550
ANTONIO GERALDO ALVES,PREFEITO,2490
GALILEU TEIXEIRA MACHADO,PREFEITO,58443
MARCELO OLEGARIO SOARES,PREFEITO,2047
ELIAS TASSOTI,PREFEITO,3293
EUVALDO GOBIRA ALVES,PREFEITO,3196
IRAMAIA MARIA CORDEIRO DE ALMEIDA,PREFEITO,1533
JOSÉ SANTANA JUNIOR,PREFEITO,2448
GERALDO ADILSON GONCALVES,PREFEITO,1777
JOAO BOSCO COELHO,PREFEITO,1888
FRANCISCO ROSINEI PINTO,PREFEITO,1445
MANOEL FRANKLIN RODRIGUES,PREFEITO,2591
MARCILIO TADEU TEIXEIRA COTTA,PREFEITO,3596
JOÃO EBER BARRETO NOMAN,PREFEITO,2199
RONALDO ANTONIO ZICA DA COSTA,PREFEITO,5111
VALDIR RIBEIRO DE BARROS,PREFEITO,2204
ELITON LUIZ MOREIRA,PREFEITO,1529
MARCOS ALEM DE OLIVEIRA,PREFEITO,926
JOSE ELIAS RODRIGUES PEREIRA,PREFEITO,3141
