NM_VOTAVEL,DS_CARGO,ANO
CINARA MARIA DE JESUS,DEPUTADO FEDERAL,2022
CLAUDIO CARDOSO DE OLIVEIRA,DEPUTADO ESTADUAL,2022
CLAUDIO DE SOUZA,DEPUTADO ESTADUAL,2022
CLAUDIO MARZO PARREIRAS SILVA,DEPUTADO FEDERAL,2022
CLÉRIA LÚCIA DE SOUZA SALOMÉ,DEPUTADO ESTADUAL,2022
CRISTIANA APARECIDA DOMINGUES DE ASSUNÇÃO,DEPUTADO ESTADUAL,2022
CRÉSIO VIEIRA CAMPOS,DEPUTADO FEDERAL,2022
CÁSSIA AUGUSTA DOS SANTOS,DEPUTADO ESTADUAL,2022
DENILSON APARECIDO MARTINS,DEPUTADO ESTADUAL,2022
DEODORO DE SOUZA,DEPUTADO FEDERAL,2022
DILMA APARECIDA DE OLIVEIRA,DEPUTADO ESTADUAL,2022
DILMA OLIVEIRA DE SOUSA,DEPUTADO ESTADUAL,2022
DIMAS ANTÔNIO DE SOUZA,DEPUTADO ESTADUAL,2022
DIONISIO JOSE MACHADO BRITO,DEPUTADO FEDERAL,2022
DIRCEU LEONARDO RIBEIRO DOS SANTOS BRANDAO,DEPUTADO ESTADUAL,2022
DIRLEY JOAQUIM HENRIQUES,DEPUTADO FEDERAL,2022
EBER VIEIRA DE ABREU,DEPUTADO ESTADUAL,2022
EDEVAL PEREIRA DE OLIVEIRA,DEPUTADO FEDERAL,2022
EDILSON PEREIRA NERY,DEPUTADO ESTADUAL,2022
EDUARDO DA SILVA SANTOS,DEPUTADO FEDERAL,2022
ELENILTON MARTINS VIEIRA,DEPUTADO ESTADUAL,2022
ELIEZER VIEIRA MACHADO FILHO,DEPUTADO ESTADUAL,2022
ELISA DE MACEDO DA SILVA,DEPUTADO FEDERAL,2022
ELVES RODRIGUES CORTES,DEPUTADO FEDERAL,2022
ELVIRA PIRES RAMOS,DEPUTADO ESTADUAL,2022
EMERSON SERRAVITE,DEPUTADO FEDERAL,2022
ERIKA CRISTINA LOPES,DEPUTADO FEDERAL,2022
EVERSON DAMIAO SANTOS DE OLIVEIRA,DEPUTADO FEDERAL,2022
EVERTON ANDRADE DOS SANTOS,DEPUTADO ESTADUAL,2022
FABIANO MOREIRA DA SILVA,DEPUTADO ESTADUAL,2022
FABIO DE SOUZA SANTANA,DEPUTADO FEDERAL,2022
FERNANDA FIGUEIREDO PATROCINIO,DEPUTADO ESTADUAL,2022
FILOTEIA FERREIRA MARÇAL,DEPUTADO FEDERAL,2022
FLÁVIO DUTRA DE SOUZA TEIXEIRA,DEPUTADO FEDERAL,2022
FRANCISCO VITORINO,DEPUTADO ESTADUAL,2022
GEOVANE CARDOSO CORREIA,DEPUTADO FEDERAL,2022
GERALDO AFONSO FRAGA,DEPUTADO ESTADUAL,2022
GESINEY CAMPOS MOURA,DEPUTADO FEDERAL,2022
HANNA KARINA CONCEIÇÃO LIMA,DEPUTADO ESTADUAL,2022
ISAIAS SILVESTRE,DEPUTADO FEDERAL,2022
ITAMAR VASCONCELLOS DIAS,DEPUTADO FEDERAL,2022
IVAN DE ASSIS SOARES,DEPUTADO FEDERAL,2022
JEFFERSON BERNARDES JAMARINO DE LIMA FRATTARI,DEPUTADO ESTADUAL,2022
JOANA D ARC CARVALHO GUIMARÃES,DEPUTADO FEDERAL,2022
JOB VICENTE RODRIGUES,DEPUTADO FEDERAL,2022
JOSE RAIMUNDO DA CUNHA,DEPUTADO ESTADUAL,2022
JOSIAS DE AGUIAR RIBEIRO,DEPUTADO FEDERAL,2022
JOSÉ CAETANO DE ARAUJO FILHO,DEPUTADO ESTADUAL,2022
JOSÉ MILTON DOS SANTOS,DEPUTADO ESTADUAL,2022
JOSÉ VESPASIANO CASSEMIRO,DEPUTADO ESTADUAL,2022
JOÃO AGRIPINO DA SILVA,DEPUTADO FEDERAL,2022
JOÃO PAULINO DIAS,DEPUTADO ESTADUAL,2022
JOÃO PAULO FELIZARDO,DEPUTADO FEDERAL,2022
JULIAO DA CONCEICAO RIBEIRO,DEPUTADO ESTADUAL,2022
JUNIO CESAR MIRANDA,DEPUTADO FEDERAL,2022
JÚLIO CÉSAR DE SOUZA,DEPUTADO FEDERAL,2022
KENIA MARCIA ALVES RIBEIRO,DEPUTADO ESTADUAL,2022
LEONARDO VITOR DE OLIVEIRA,DEPUTADO ESTADUAL,2022
LERIS FELISBERTO BRAGA,DEPUTADO ESTADUAL,2022
LUCIANO DE OLIVEIRA E SILVA,DEPUTADO ESTADUAL,2022
LUIZ CARLOS DE JESUS,DEPUTADO ESTADUAL,2022
LUIZ CARLOS LOURES MARTINS,DEPUTADO FEDERAL,2022
LUIZ ROCHA NETO,DEPUTADO ESTADUAL,2022
LUIZ UBIRATAN PIRES,DEPUTADO FEDERAL,2022
LUIZA AUGUSTA CASTRO SATHELER FURTADO,DEPUTADO FEDERAL,2022
LÍVIA OLIVEIRA VASCONCELOS,DEPUTADO FEDERAL,2022
MANOEL FERREIRA DA ROSA NETO,DEPUTADO ESTADUAL,2022
MARA REGINA TEIXEIRA GUIMARÃES,DEPUTADO ESTADUAL,2022
MARCO ANTONIO MARCELINO DOS REIS,DEPUTADO ESTADUAL,2022
MARCO ANTONIO REIS CARVALHO,DEPUTADO ESTADUAL,2022
MARCOS ANTÔNIO DE PAULA,DEPUTADO ESTADUAL,2022
MARCUS VINÍCIUS BARBOSA,DEPUTADO ESTADUAL,2022
MARGARETH DIONISIA COSTA BRANCO,DEPUTADO FEDERAL,2022
MARIA CLAUDIA DA COSTA FRANCO SILVA D ARCADIA DE ANDRADES,DEPUTADO ESTADUAL,2022
MARIA DE FATIMA SILVA,DEPUTADO ESTADUAL,2022
MARIA DE LOURDES RODRIGUES GOMES,DEPUTADO ESTADUAL,2022
MARIA LAURA DE JESUS OLIVEIRA,DEPUTADO FEDERAL,2022
MARIA MARGARIDA BERNARDES,DEPUTADO FEDERAL,2022
MARIA PIEDADE FERREIRA DA SILVA,DEPUTADO FEDERAL,2022
MARIA SERGIANA GOMES DE OLIVEIRA,DEPUTADO FEDERAL,2022
MARIANA FERNANDES COSTA,DEPUTADO ESTADUAL,2022
MARICELMA DE ASSIS VON RANDOW,DEPUTADO ESTADUAL,2022
MARIENE PATRICIA RODRIGUES,DEPUTADO ESTADUAL,2022
MAURÍCIO LEMES DE CARVALHO,DEPUTADO ESTADUAL,2022
MERCEDES PEREIRA GONÇALVES,DEPUTADO ESTADUAL,2022
MESSIAS LOPES FERREIRA,DEPUTADO FEDERAL,2022
MÁRCIO CHALEGRE COIMBRA,DEPUTADO FEDERAL,2022
OIDES RODRIGUES SILVA JÚNIOR,DEPUTADO FEDERAL,2022
PATRICIA DIOGO DA ROCHA DA COSTA,DEPUTADO FEDERAL,2022
PATRÍCIA FARIA MORAES DE ARAUJO GONÇALVES,DEPUTADO FEDERAL,2022
PATRÍCIA FERREIRA RAMOS,DEPUTADO ESTADUAL,2022
POLIANE CRISTINA DE ALMEIDA,DEPUTADO ESTADUAL,2022
Partido da Causa Operária,DEPUTADO ESTADUAL,2022
RAFAEL EUGENIO FERNANDES,DEPUTADO ESTADUAL,2022
REGIANE FATIMA DE LIMA,DEPUTADO FEDERAL,2022
REGINALDO HENRIQUE DOS SANTOS,DEPUTADO ESTADUAL,2022
RICARDO PEREIRA BORGES,DEPUTADO ESTADUAL,2022
RICHARD CRISOSTOMO BORGES MACIEL,DEPUTADO FEDERAL,2022
ROBERTA GONÇALVES ZANON,DEPUTADO ESTADUAL,2022
ROBERTO GARCIA SORGI,DEPUTADO ESTADUAL,2022
RODRIGO GOMES,DEPUTADO FEDERAL,2022
RODRIGO RIBEIRO PIGNATON,DEPUTADO FEDERAL,2022
RUFINO ANTUNES DE SOUZA,DEPUTADO ESTADUAL,2022
RUY ADRIANO BORGES MUNIZ,DEPUTADO FEDERAL,2022
SAMIRA FUAD JRAY DE OLIVEIRA,DEPUTADO ESTADUAL,2022
SAMUEL CLEVER TAVARES SIMIM,DEPUTADO ESTADUAL,2022
SEBASTIÃO CALIXTO FILHO,DEPUTADO ESTADUAL,2022
SERGIO MACHADO DE ANDRADE,DEPUTADO FEDERAL,2022
SILVIO ROBERTO FERREIRA CARNEIRO,DEPUTADO FEDERAL,2022
THIAGO TORRES COELHO,DEPUTADO FEDERAL,2022
UEBERSON RODRIGUES MACIEL,DEPUTADO ESTADUAL,2022
VALÉRIA PERES MORATO GONÇALVES,DEPUTADO ESTADUAL,2022
VANDERLEI DA ROCHA TEIXEIRA,DEPUTADO FEDERAL,2022
VINICIO JOSE SCARANO PEDROSO,DEPUTADO FEDERAL,2022
VITORIO FILHO RIBEIRO,DEPUTADO ESTADUAL,2022
WAGNER DA SILVA SALES,DEPUTADO FEDERAL,2022
WAGNER DE CARVALHO BASTOS,DEPUTADO FEDERAL,2022
WAGNER INACIO FREITAS DIAS,DEPUTADO ESTADUAL,2022
WAGNER MARTINS DE OLIVEIRA,DEPUTADO ESTADUAL,2022
WALTER DA ROCHA TOSTA,DEPUTADO FEDERAL,2022
WELESSON GONÇALVES DE ANDRADE OLIVEIRA,DEPUTADO FEDERAL,2022
ZILDA HELENA DOS SANTOS VIEIRA,DEPUTADO ESTADUAL,2022
ADRIANA SILVA MARTINS DE BARROS,DEPUTADO ESTADUAL,2022
ADÉLIA MARIA CUSTÓDIA DA FONSECA,DEPUTADO ESTADUAL,2022
ANDREA LARA BOSCARRIOL GONÇALVES MOREIRA,DEPUTADO FEDERAL,2022
BRUNO LUIZ DA SILVA GOMIDES,DEPUTADO ESTADUAL,2022
CARLOS EDUARDO DA SILVA,DEPUTADO ESTADUAL,2022
CARMEN LYDIA JUNQUEIRA PULITI MEIRELLES,DEPUTADO ESTADUAL,2022
CELSO DONATO DE MORAIS FILHO,DEPUTADO FEDERAL,2022
DANIEL CRISTIANO SOUZA,DEPUTADO FEDERAL,2022
DANIEL JORGE NORONHA PINTO,DEPUTADO ESTADUAL,2022
DEUSDETE ANTÔNIO DE CARVALHO,DEPUTADO FEDERAL,2022
DEVAND ANDRADE PEREIRA,DEPUTADO FEDERAL,2022
FELIPE CORREIA DE SOUZA PEREIRA GOMES,DEPUTADO ESTADUAL,2022
FREDERICO OZANAN DE PAULA,DEPUTADO FEDERAL,2022
GENDRA ILIADA SARLAS PINTO MAGALHÃES,DEPUTADO ESTADUAL,2022
GREGORY RODRIGUES ROQUE DE SOUZA,DEPUTADO ESTADUAL,2022
GUILHERME REGINALDO,DEPUTADO ESTADUAL,2022
JORGE ELIAS DE SOUZA LEMOS,DEPUTADO ESTADUAL,2022
JOSE LUIZ MOREIRA ANTUNES,DEPUTADO ESTADUAL,2022
JOSE ROBERTO GOMES,DEPUTADO FEDERAL,2022
JOSE RONALDO DA SILVA,DEPUTADO FEDERAL,2022
JOSMAR MOREIRA BARBOSA,DEPUTADO FEDERAL,2022
JULIANE DA SILVA FARAGE,DEPUTADO ESTADUAL,2022
JULIO CESAR ROSSIGNOLI BARROS,DEPUTADO ESTADUAL,2022
JÚLIO CÉSAR DE ALMEIDA BARROS,DEPUTADO FEDERAL,2022
KLEBSON ANDRÉ VIANA SILVA,DEPUTADO ESTADUAL,2022
LUIZ ANTÔNIO DA SILVA,DEPUTADO FEDERAL,2022
MARIA MADALENA SOUSA DO NASCIMENTO,DEPUTADO ESTADUAL,2022
MARIA NILZA RAMOS FERREIRA,DEPUTADO FEDERAL,2022
MARIEL APARECIDA DE OLIVEIRA BOLINA,DEPUTADO ESTADUAL,2022
MARLENE LOPES VIEIRA MAGALHÃES,DEPUTADO ESTADUAL,2022
MAURICIO DA PAIXÃO MAIA,DEPUTADO ESTADUAL,2022
MONIQUE CRISTINA DRUMOND LINS,DEPUTADO FEDERAL,2022
OSAIR JOSE FERNANDES SANTIAGO,DEPUTADO FEDERAL,2022
PAOLA BRAGA DE OLIVEIRA,DEPUTADO FEDERAL,2022
PAULO VALDIR FERREIRA,DEPUTADO ESTADUAL,2022
ROMULO FABIO SILVA RABELO,DEPUTADO ESTADUAL,2022
RONY PRAXEDES VIEIRA,DEPUTADO ESTADUAL,2022
ROSANA MARIA VIOL FARIA,DEPUTADO FEDERAL,2022
WALDECIR FERREIRA DA SILVA,DEPUTADO ESTADUAL,2022
WALLACE ALVES DE OLIVEIRA SILVA,DEPUTADO ESTADUAL,2022
CLAUDIO MARQUES FONSECA DE AZEVEDO,DEPUTADO ESTADUAL,2022
EDSON JERONIMO JUNIOR,DEPUTADO ESTADUAL,2022
FAGNER MATEUS GONÇALVES,DEPUTADO ESTADUAL,2022
GERALDO FELIPE DA SILVA,DEPUTADO FEDERAL,2022
MARCELO DE ARAÚJO BATALHA,DEPUTADO ESTADUAL,2022
MARÇAL SERAFIM CÂNDIDO,DEPUTADO FEDERAL,2022
MILTON SILVESTRE DA SILVA,DEPUTADO ESTADUAL,2022
REGINALDO COSTA FONSECA,DEPUTADO ESTADUAL,2022
RENATA ROSA VIANA COMINI,DEPUTADO ESTADUAL,2022
WILSON ISSÃO KORESSAWA,DEPUTADO FEDERAL,2022
CARLOS HENRIQUE POLICARPO DA SILVA,DEPUTADO ESTADUAL,2022
EDUARDO MAGNO MARCELINO,DEPUTADO ESTADUAL,2022
FERNANDO DE ALMEIDA SASSARRONI,DEPUTADO ESTADUAL,2022
GABRIEL ELIAS SASSERON,DEPUTADO ESTADUAL,2022
GABRIELA CESCHIM PRATTI,DEPUTADO FEDERAL,2022
GENIVALDO MACHADO SILVA,DEPUTADO ESTADUAL,2022
GLEDSON ADENAUER DE ALMEIDA VIEIRA,DEPUTADO ESTADUAL,2022
HELIO HENRIQUE QUEIROZ TEIXEIRA ROSA,DEPUTADO ESTADUAL,2022
IGOR LUIZ SANDIM GONZAGA,DEPUTADO ESTADUAL,2022
LUCAS CARVALHO DE ARRUDA,DEPUTADO FEDERAL,2022
LUIZ CARLOS DE SIQUEIRA,DEPUTADO FEDERAL,2022
MARCO ANTONIO BADARO BIANCHINI,DEPUTADO ESTADUAL,2022
MARIA TEREZA DE ANDRADE,DEPUTADO ESTADUAL,2022
OSCAR LISANDRO TEIXEIRA,DEPUTADO ESTADUAL,2022
PAULO CESAR SANTOS NEVES,DEPUTADO FEDERAL,2022
PEDRO ALENCAR AZEVEDO,DEPUTADO ESTADUAL,2022
ROSANIA APARECIDA RIBEIRO,DEPUTADO FEDERAL,2022
ROZILDA DE CAMPOS CONTI,DEPUTADO ESTADUAL,2022
SIDNEY DIAS DOS REIS,DEPUTADO ESTADUAL,2022
SILVANEI BATISTA SANTOS,DEPUTADO ESTADUAL,2022
TERESA MARIA CORREIA GUERRA GONÇALVES,DEPUTADO ESTADUAL,2022
VANDEIR LUCIO MOTTA,DEPUTADO FEDERAL,2022
ADAIR JOSÉ DA SILVA,DEPUTADO FEDERAL,2022
ADEMAR ALVES VIEIRA JUNIOR,DEPUTADO ESTADUAL,2022
ADEMIR ANGELINO,DEPUTADO ESTADUAL,2022
ADRIANA MARRA DE PAULA,DEPUTADO FEDERAL,2022
ADÃO CAETANO DA SILVA,DEPUTADO ESTADUAL,2022
ALAN BRUNO VALE DA COSTA,DEPUTADO ESTADUAL,2022
ALCIONE MAGELA MAROCOLO,DEPUTADO FEDERAL,2022
ALESSANDRA CASTRO RODRIGUES,DEPUTADO ESTADUAL,2022
ALEXSANDRO LUACES SENNA,DEPUTADO ESTADUAL,2022
ALFREDO TEIXEIRA DE LIMA FILHO,DEPUTADO FEDERAL,2022
ALOISIO DE REZENDE,DEPUTADO ESTADUAL,2022
ALOISIO PAULO FERREIRA,DEPUTADO FEDERAL,2022
ALTAMIR DE SOUZA PEREIRA,DEPUTADO FEDERAL,2022
ALZIRA RODRIGUES DA SILVA,DEPUTADO ESTADUAL,2022
ANA JÚLIA INÁCIO VILELA,DEPUTADO FEDERAL,2022
ANA LUCIA TEIXEIRA DE JESUS,DEPUTADO FEDERAL,2022
ANALIA DE SOUZA SILVA,DEPUTADO FEDERAL,2022
ANDRE LUIZ MARTINS DE PADUA,DEPUTADO ESTADUAL,2022
ANDREA MARQUES RAMIRO,DEPUTADO ESTADUAL,2022
ANDRÉA ALVES RIBEIRO,DEPUTADO FEDERAL,2022
ANGELA MARIA DE PAIVA SILVA,DEPUTADO ESTADUAL,2022
ANTENOR BARBOSA EFIGENIO,DEPUTADO ESTADUAL,2022
ANTONIO EPAMINONDAS DE ARAÚJO,DEPUTADO FEDERAL,2022
ANTONIO GERALDO DE JESUS,DEPUTADO FEDERAL,2022
ANTONIO GERALDO MENDES MAGALHÃES,DEPUTADO ESTADUAL,2022
ANTONIO MARCOS LIMA MACIEL,DEPUTADO FEDERAL,2022
ANTÔNIO BATISTA PEREIRA,DEPUTADO ESTADUAL,2022
ANTÔNIO CARLOS DE SOUZA,DEPUTADO FEDERAL,2022
ANTÔNIO EURIPES DA SILVA JUNIOR,DEPUTADO FEDERAL,2022
ARANÍSIO JOAQUIM MARTINS JUNIOR,DEPUTADO FEDERAL,2022
AROLDO SILVA DE JESUS,DEPUTADO ESTADUAL,2022
AURELIO SUENES DE RESENDE,DEPUTADO ESTADUAL,2022
AURENI DAS GRAÇAS DE OLIVEIRA,DEPUTADO ESTADUAL,2022
BARBARA KATHARINE SOARES DOS SANTOS,DEPUTADO ESTADUAL,2022
BRAZ FERNANDO DA SILVA,DEPUTADO FEDERAL,2022
BRUNO BOTELHO ARABI DA CRUZ,DEPUTADO ESTADUAL,2022
BRUNO MASSA GUIMARÃES,DEPUTADO FEDERAL,2022
CAIQUE BELCHIOR HENRIQUE,DEPUTADO ESTADUAL,2022
CAMILLA KÉSSIA PEREIRA BARRETO,DEPUTADO FEDERAL,2022
CARLA VANESSA SERRANO FERREIRA,DEPUTADO FEDERAL,2022
CARLOS AUGUSTO DOS PASSOS MARTINS,DEPUTADO ESTADUAL,2022
CARLOS EUGENIO DEMETRIO,DEPUTADO FEDERAL,2022
CARLOS LUCIO FERREIRA,DEPUTADO ESTADUAL,2022
CARLOS ROBERIO RODRIGUES NEVES,DEPUTADO ESTADUAL,2022
CAROLINA RAMOS DA SILVA MENEZES,DEPUTADO ESTADUAL,2022
CHARLENE PIEDADE DOS SANTOS DE ASSUNÇÃO,DEPUTADO ESTADUAL,2022
CIBELE MACHADO,DEPUTADO FEDERAL,2022
CINTHIA SANCHES SILVA PEREIRA,DEPUTADO ESTADUAL,2022
CIRLENE GONÇALVES DOS SANTOS,DEPUTADO FEDERAL,2022
CLARIANA ALVES DE PAULA QUEIROZ,DEPUTADO FEDERAL,2022
CLAUDIO ADRIANO DA SILVA MOURA,DEPUTADO FEDERAL,2022
CLÁUDIA GONTIJO RIBEIRO,DEPUTADO FEDERAL,2022
CRISTIANO DA SILVA KLEIN,DEPUTADO FEDERAL,2022
CÉLIA DAS VIRGENS,DEPUTADO FEDERAL,2022
DANIELA REGINA DE JESUS DA SILVA,DEPUTADO ESTADUAL,2022
DARIÊ CATTANI DIAS,DEPUTADO FEDERAL,2022
DARLENE DE FÁTIMA BRAGA PALMA,DEPUTADO ESTADUAL,2022
DAVI CARLOS PEREIRA,DEPUTADO ESTADUAL,2022
DEBORAH RUBIANA DE SOUZA,DEPUTADO FEDERAL,2022
DENISIO CRISTIANO DA SILVA,DEPUTADO ESTADUAL,2022
DERLAN MIRANDA DOS REIS,DEPUTADO ESTADUAL,2022
DEVAIR NUNES DE OLIVEIRA,DEPUTADO ESTADUAL,2022
DIANA DE CASSIA SILVA,DEPUTADO ESTADUAL,2022
DILERMANDO OLIVEIRA MELO,DEPUTADO ESTADUAL,2022
DIMAS TADEU RIBEIRO,DEPUTADO FEDERAL,2022
DÓRIS CAMARGO MARTINS DE ANDRADE,DEPUTADO FEDERAL,2022
EDER LIMA MOREIRA,DEPUTADO ESTADUAL,2022
EDIMAR FERREIRA DE OLIVEIRA,DEPUTADO ESTADUAL,2022
EDMUR CARLOS DOS SANTOS GONÇALVES,DEPUTADO FEDERAL,2022
EDUARDO FERNANDES TARDIOLE,DEPUTADO FEDERAL,2022
EDVALDO DE SOUZA GOMIDES,DEPUTADO FEDERAL,2022
EMIR MARZANO RIBEIRO,DEPUTADO FEDERAL,2022
ERIK ASSIS CASTRO,DEPUTADO FEDERAL,2022
FABIO DOS SANTOS BOSI,DEPUTADO ESTADUAL,2022
FABIO LUIZ NOGUEIRA CABALLERO,DEPUTADO ESTADUAL,2022
FABRICIO FRANCISCO MAFRA,DEPUTADO ESTADUAL,2022
FELIPE CAVALLARO STANCIOLI,DEPUTADO FEDERAL,2022
FERNANDA DE CASTELHA AFONSO,DEPUTADO ESTADUAL,2022
FERNANDO CARLOS DE OLIVEIRA,DEPUTADO ESTADUAL,2022
FERNANDO PACHECO FIALHO,DEPUTADO ESTADUAL,2022
FLAVIA CRISTINA DE LISBOA ANANIAS,DEPUTADO FEDERAL,2022
FLAVIA TATIANE TOBIAS DA SILVA,DEPUTADO FEDERAL,2022
FRANCELINO ABIACRE MONTEIRO,DEPUTADO ESTADUAL,2022
FRANCISCA MARIA DA SILVA,DEPUTADO FEDERAL,2022
FRANCISCO DE ASSIS SIMÕES THOMAZ,DEPUTADO ESTADUAL,2022
FRANCISNALDO CARLOS PIMENTA,DEPUTADO FEDERAL,2022
GABRIEL LUCAS DA SILVA PEREIRA,DEPUTADO ESTADUAL,2022
GERALDO ALCIR GUIMARAES,DEPUTADO FEDERAL,2022
GERALDO TEIXEIRA DOS SANTOS,DEPUTADO ESTADUAL,2022
GIL PABLO OLIVEIRA ALMEIDA,DEPUTADO FEDERAL,2022
GILBERTO WAGNER MARTINS PEREIRA ANTUNES,DEPUTADO ESTADUAL,2022
GILSON LIBOREIRO DA SILVA,DEPUTADO FEDERAL,2022
GIOVANINI FREITAS DA SILVA,DEPUTADO ESTADUAL,2022
GISELE CRISTINA DO CARMO PEREIRA LOPES,DEPUTADO FEDERAL,2022
GISLENE APARECIDA ALEXANDRE,DEPUTADO FEDERAL,2022
GLAUCIANO LUCIO DE OLIVEIRA,DEPUTADO ESTADUAL,2022
GUSTAVO VINICIUS SILVEIRA DE PAULA,DEPUTADO FEDERAL,2022
HALLE BAPTISTA DE FIGUEIREDO,DEPUTADO ESTADUAL,2022
HIGO OLIVEIRA NUNES,DEPUTADO ESTADUAL,2022
IAGO MARTINS CHAVES,DEPUTADO FEDERAL,2022
IRACEMA DOS SANTOS FERREIRA LAGES,DEPUTADO FEDERAL,2022
IRANI DA CRUZ,DEPUTADO FEDERAL,2022
IRIS MARIA DA COSTA AMÂNCIO KAMWA,DEPUTADO ESTADUAL,2022
JOANA ALVES LOUBACK,DEPUTADO FEDERAL,2022
JOAO LUIZ VAZ,DEPUTADO ESTADUAL,2022
JOAO PAULO MELLO RODRIGUES SARMENTO,DEPUTADO FEDERAL,2022
JOSE JARBAS PIMENTA,DEPUTADO FEDERAL,2022
JOSE MARCELO ALVES SANTOS GONÇALVES,DEPUTADO FEDERAL,2022
JOÃO FERNANDO DE SOUZA,DEPUTADO ESTADUAL,2022
JOÃO PAULO ALVES SOARES,DEPUTADO ESTADUAL,2022
JOÃO VICTOR RIBEIRO FERNANDES,DEPUTADO FEDERAL,2022
JULIANA DOS SANTOS PEREIRA,DEPUTADO FEDERAL,2022
JULIANA TORRES GALLINDO MOURA,DEPUTADO ESTADUAL,2022
JULIARINA APARECIDA DA CRUZ PEREIRA,DEPUTADO FEDERAL,2022
JUNIA FELIX DA SILVA,DEPUTADO FEDERAL,2022
JUNY BAROUCH,DEPUTADO ESTADUAL,2022
KATIA CILENE FERREIRA DA SILVA,DEPUTADO ESTADUAL,2022
KILDARE TRAVAGLIA DE CASTRO,DEPUTADO FEDERAL,2022
KÁTIA APARECIDA FRANCO,DEPUTADO FEDERAL,2022
LAIS APARECIDA DA CRUZ,DEPUTADO ESTADUAL,2022
LEANDRO PIMENTEL DA SILVA DOS SANTOS,DEPUTADO ESTADUAL,2022
LEIDIANE ALVES FREIRE,DEPUTADO ESTADUAL,2022
LEONARDO MENEZES DOS SANTOS,DEPUTADO ESTADUAL,2022
LEONARDO MONTEIRO DA SILVA,DEPUTADO FEDERAL,2022
LUCIANA APARECIDA DOS SANTOS,DEPUTADO ESTADUAL,2022
LUCIANO HENRIQUE SILVA,DEPUTADO FEDERAL,2022
LUCIO CAMPOS SILVA,DEPUTADO FEDERAL,2022
LUIS RENATO TIVERON,DEPUTADO ESTADUAL,2022
LUIZ FERNANDO DE SOUZA,DEPUTADO FEDERAL,2022
LUIZ HENRIQUE DELFRARO,DEPUTADO ESTADUAL,2022
MAERCIO ANTONIO DE OLIVEIRA,DEPUTADO FEDERAL,2022
MAIRA DOS SANTOS CARLOS,DEPUTADO FEDERAL,2022
MAISA APARECIDA FERNANDES,DEPUTADO FEDERAL,2022
MARCELO DE MIRANDA,DEPUTADO ESTADUAL,2022
MARCELO HEITOR DA SILVA,DEPUTADO ESTADUAL,2022
MARCIA APARECIDA REIS,DEPUTADO ESTADUAL,2022
MARCILENE SILVA DE JESUS,DEPUTADO FEDERAL,2022
MARCO HENRIQUE GOMES PIRAJA,DEPUTADO FEDERAL,2022
MARCOS PEIXOTO CAMISASSA,DEPUTADO ESTADUAL,2022
MARIA ANGELA FERREIRA COSTA,DEPUTADO FEDERAL,2022
MARIA APARECIDA CORRÊA BUZETTI,DEPUTADO ESTADUAL,2022
MARIA STHER MOREIRA,DEPUTADO ESTADUAL,2022
MARILANDIA LERIDA DOS SANTOS LIMA,DEPUTADO ESTADUAL,2022
MARIO FERNANDO GONÇALVES NOGUEIRA,DEPUTADO FEDERAL,2022
MARLI GAVA DA SILVA,DEPUTADO FEDERAL,2022
MAURO SERGIO MENDES CONDE,DEPUTADO FEDERAL,2022
MELCHIADES EFIGENIO MELLO,DEPUTADO ESTADUAL,2022
MOISÉS GUIMARAES PINHEIRO,DEPUTADO ESTADUAL,2022
MÁRCIA FERREIRA RAMOS,DEPUTADO FEDERAL,2022
MÁRCIO EMÍDIO MARANGON,DEPUTADO FEDERAL,2022
NASTENKA GEORGINA FERREIRA RIBEIRO,DEPUTADO FEDERAL,2022
NAYANNE PEREIRA DE AMORIM,DEPUTADO ESTADUAL,2022
NEILL GONDIM BALIZA ROCHA E LIMA,DEPUTADO FEDERAL,2022
NEWTON MAHMED CHAIN LAUAR,DEPUTADO FEDERAL,2022
NILTON APARECIDO MILITÃO,DEPUTADO ESTADUAL,2022
PATRICIA FERREIRA DE OLIVEIRA,DEPUTADO FEDERAL,2022
PATRICIA GUERRA,DEPUTADO ESTADUAL,2022
PATRICIA MARIA DA COSTA REIS,DEPUTADO ESTADUAL,2022
PAULO AMARAL,DEPUTADO FEDERAL,2022
PAULO ROGERIO DA SILVA SANTOS,DEPUTADO FEDERAL,2022
PAULO SERGIO PENA FELIX,DEPUTADO FEDERAL,2022
PAULO SERGIO RABELO,DEPUTADO ESTADUAL,2022
PAULO SÉRGIO ÁVILA SANTOS,DEPUTADO FEDERAL,2022
PLACIDINO STABILE DE OLIVEIRA,DEPUTADO FEDERAL,2022
Partido Renovador Trabalhista Brasileiro,DEPUTADO FEDERAL,2022
Partido da Causa Operária,DEPUTADO FEDERAL,2022
RAMON CAMILO MARQUES RODRIGUES DE PAULA,DEPUTADO FEDERAL,2022
RAYANE KENIA DOS SANTOS OLIVEIRA,DEPUTADO FEDERAL,2022
REGINA APARECIDA ROCHA,DEPUTADO ESTADUAL,2022
REGINA MARIA CIOFFI BATAGINI,DEPUTADO ESTADUAL,2022
REINALDO DA SILVA OLIVEIRA,DEPUTADO ESTADUAL,2022
RENATO COELHO DE MOURA JÚNIOR,DEPUTADO ESTADUAL,2022
RICARDO DE CARVALHO SILVA,DEPUTADO ESTADUAL,2022
ROBERTA CARNEIRO FONTES DOS SANTOS,DEPUTADO FEDERAL,2022
ROBSON GONCALVES,DEPUTADO FEDERAL,2022
