NM_VOTAVEL,DS_CARGO,ANO
DENISE MARTINS DOS SANTOS,DEPUTADO ESTADUAL,2022
DENNYS GARCIA XAVIER,DEPUTADO FEDERAL,2022
DIEGO LEONARDO DE ANDRADE CARVALHO,DEPUTADO FEDERAL,2022
DIMAS FABIANO TOLEDO JUNIOR,DEPUTADO FEDERAL,2022
DOMINGOS FRANCISCO DE CASTRO,DEPUTADO ESTADUAL,2022
DOMINGOS SÁVIO CAMPOS RESENDE,DEPUTADO FEDERAL,2022
DOORGAL GUSTAVO SAD LAFAYETTE DE ANDRADA,DEPUTADO ESTADUAL,2022
DUARTE EUSTÁQUIO GONÇALVES JUNIOR,DEPUTADO FEDERAL,2022
DUDA SALABERT ROSA,DEPUTADO FEDERAL,2022
Democracia Cristã,DEPUTADO ESTADUAL,2022
Democracia Cristã,DEPUTADO FEDERAL,2022
DÉBORA RABELLO LOVISI SALES DE OLIVEIRA,DEPUTADO ESTADUAL,2022
EDGARD LEITÃO MENEZES,DEPUTADO FEDERAL,2022
EDSON LOPES DA SILVA,DEPUTADO FEDERAL,2022
EDUARDO HENRIQUE DE AZEVEDO,DEPUTADO ESTADUAL,2022
EDUARDO LUIZ BARROS BARBOSA,DEPUTADO FEDERAL,2022
EDUARDO PEREIRA DE OLIVEIRA,DEPUTADO ESTADUAL,2022
EDUARDO SANTOS GUIMARÃES,DEPUTADO FEDERAL,2022
ELIANE JOANA SANTIAGO,DEPUTADO FEDERAL,2022
ELIANE LEANDRA GOMES,DEPUTADO ESTADUAL,2022
ELIEL MARCIO DO CARMO,DEPUTADO FEDERAL,2022
ELISMAR FERNANDES PRADO,DEPUTADO ESTADUAL,2022
ELIZEU SILVA CORDEIRO,DEPUTADO ESTADUAL,2022
ELLEN MIZIARA SOUSA FERREIRA,DEPUTADO FEDERAL,2022
EMMANUEL ROBSON GOMES,DEPUTADO ESTADUAL,2022
EROS FERREIRA BIONDINI,DEPUTADO FEDERAL,2022
FABIANO LOPES FERREIRA,DEPUTADO FEDERAL,2022
FABIO DIAS QUEIROZ ZAVITOSKI,DEPUTADO ESTADUAL,2022
FABIO MARINHO DOS SANTOS,DEPUTADO ESTADUAL,2022
FABIO RUZ BORGES,DEPUTADO ESTADUAL,2022
FABRICIO PAULA DE ASSUNÇÃO,DEPUTADO ESTADUAL,2022
FERNANDA RIBEIRO DE SALLES,DEPUTADO ESTADUAL,2022
FERNANDO DAMATA PIMENTEL,DEPUTADO FEDERAL,2022
FILIPE ABRANCHES,DEPUTADO ESTADUAL,2022
FRANCINE DE PAULA PEREIRA,DEPUTADO ESTADUAL,2022
FRANCISCO CARLOS DE SÁ FREITAS,DEPUTADO FEDERAL,2022
FRANCISCO HUMBERTO DE FREITAS AZEVEDO,DEPUTADO FEDERAL,2022
FRANCISCO PEREIRA BORGES,DEPUTADO FEDERAL,2022
FRANCO CARTAFINA GOMES,DEPUTADO FEDERAL,2022
FREDERICO BORGES DA COSTA,DEPUTADO FEDERAL,2022
GASPAR REIS BATISTA DE OLIVEIRA,DEPUTADO FEDERAL,2022
GERALDO DIAS AMADOR,DEPUTADO ESTADUAL,2022
GERALDO JUNIO DO AMARAL,DEPUTADO FEDERAL,2022
GIL SANTOS SILVA,DEPUTADO ESTADUAL,2022
GILBERTO APARECIDO ABRAMO,DEPUTADO FEDERAL,2022
