NM_MUNICIPIO,NM_VOTAVEL,DS_CARGO,QT_VOTOS,ELEITO
AMPARO DO SERRA,JOSÉ EDUARDO BARBOSA COUTO,PREFEITO,1822,SIM (2020)
AMPARO DO SERRA,TÚLIO BARBOSA CÁRIA,PREFEITO,784,NAO
AMPARO DO SERRA,WALTENCIL DE ALMEIDA JUNIOR,PREFEITO,1058,NAO
ANDRADAS,ADEMIR DOS SANTOS PEREZ,PREFEITO,4326,NAO
ANDRADAS,MARGOT NAVARRO GRAZIANI PIOLI,PREFEITO,10147,SIM (2020)
ANDRADAS,ROSANA APARECIDA SIBILA FRAGA DE SOUZA,PREFEITO,5248,NAO
ANDRELÂNDIA,FRANCISCO CARLOS RIVELLI,PREFEITO,3769,SIM (2020)
ANDRELÂNDIA,PAULO CESAR DE OLIVEIRA CASTRO,PREFEITO,2715,NAO
ANGELÂNDIA,CLAUDIO ROBERTO GOMES,PREFEITO,1846,NAO
ANGELÂNDIA,JOÃO PAULO BATISTA DE SOUZA,PREFEITO,2212,SIM (2020)
ANGELÂNDIA,ZELIA CARDOSO DE SOUZA,PREFEITO,802,NAO
ANTÔNIO CARLOS,ARACI CRISTINA ARAUJO  CARVALHO,PREFEITO,3276,NAO
ANTÔNIO CARLOS,HERBERT TADEU GLATER HALFELD,PREFEITO,4982,SIM (2020)
ANTÔNIO CARLOS,LUIZ CARLOS DA SILVA,PREFEITO,124,SIM (2020)
ANTÔNIO CARLOS,MARCELO RIBEIRO DA SILVA,PREFEITO,4246,NAO
ANTÔNIO CARLOS,MOACIR LUCAS VIDAL,PREFEITO,1657,NAO
ANTÔNIO DIAS,BENEDITO DE ASSIS LIMA,PREFEITO,4631,SIM (2020)
ANTÔNIO DIAS,CLEBER DESTRO MATA,PREFEITO,2007,NAO
ANTÔNIO PRADO DE MINAS,ABELAR MANOEL COSTA,PREFEITO,463,NAO
ANTÔNIO PRADO DE MINAS,WELISON SIMA  DA FONSECA,PREFEITO,1099,SIM (2020)
ARACITABA,EDUARDO OLIVEIRA MELQUIADES,PREFEITO,1035,NAO
ARACITABA,TEREZINHA MARCÍLIA DO AMARAL TOLEDO,PREFEITO,1167,SIM (2020)
ARAGUARI,ALEXSSANDER FERREIRA DE SOUZA MENDES,PREFEITO,416,NAO
ARAGUARI,CLEVER DE OLIVEIRA LIMA,PREFEITO,430,NAO
ARAGUARI,NILTON EDUARDO CASTILHO COSTA E SILVA,PREFEITO,1481,NAO
ARAGUARI,PAULO SERGIO OLIVEIRA DO VALE,PREFEITO,5259,NAO
ARAGUARI,RENATO CARVALHO FERNANDES,PREFEITO,26981,SIM (2020)
ARAGUARI,SERGIO APARECIDO CRUZ CARVALHO,PREFEITO,358,NAO
ARAGUARI,TUBERTINO SENA PEREIRA,PREFEITO,25771,NAO
ARANTINA,CARLOS ADRIANO DE CARVALHO,PREFEITO,1089,NAO
ARANTINA,EDIMAR LUIS DE OLIVEIRA,PREFEITO,1324,SIM (2020)
ARAPONGA,LUIZ HENRIQUE MACEDO TEIXEIRA,PREFEITO,4287,SIM (2020)
ARAPORÃ,JULIO CESAR MOREIRA BRANCO,PREFEITO,500,NAO
ARAPORÃ,RENATA CRISTINA SILVA BORGES,PREFEITO,3470,SIM (2020)
ARAPORÃ,VALDIR INACIO FERREIRA,PREFEITO,1330,NAO
ARAPUÁ,EMÍLIO DOS SANTOS BOAVENTURA GONDIN,PREFEITO,464,NAO
ARAPUÁ,JOAO BATISTA TERTO DA CUNHA,PREFEITO,1238,SIM (2020)
ARAPUÁ,JOÃO BATISTA DE ALMEIDA,PREFEITO,1141,NAO
ARAXÁ,ANA PAULA DE MOURA MACHADO,PREFEITO,908,NAO
ARAXÁ,EMILIO LUDOVICO NEUMANN,PREFEITO,4814,NAO
ARAXÁ,JALES ANDRÉ DOS SANTOS,PREFEITO,2785,NAO
ARAXÁ,LIDIA MARIA DE OLIVEIRA JORDÃO ROCHA DA CUNHA,PREFEITO,15019,NAO
ARAXÁ,RUBENS MAGELA DA SILVA,PREFEITO,27940,SIM (2020)
ARAXÁ,SERGIO AUGUSTO AFONSO CHAER,PREFEITO,1462,NAO
ARAÇAÍ,BRUNO SÉRGIO FIDELIS,PREFEITO,600,NAO
ARAÇAÍ,EMERSON RODRIGO TANURE COSTA,PREFEITO,95,NAO
ARAÇAÍ,JOSE NILTON MOREIRA DA SILVA,PREFEITO,602,NAO
ARAÇAÍ,MARCIO GONZAGA DIAS DE OLIVEIRA,PREFEITO,803,SIM (2020)
ARAÇUAÍ,JOSE AIRTON PEREIRA JARDIM,PREFEITO,819,NAO
ARAÇUAÍ,KEMPES FERREIRA LIMA,PREFEITO,93,NAO
ARAÇUAÍ,MARIA DO CARMO FERREIRA DA SILVA,PREFEITO,6929,NAO
ARAÇUAÍ,TADEU BARBOSA DE OLIVEIRA,PREFEITO,10350,SIM (2020)
ARAÚJOS,GERALDO MAGELA DA SILVA,PREFEITO,2798,SIM (2020)
ARAÚJOS,MARCOS EVANGELISTA COUTO,PREFEITO,1951,NAO
ARAÚJOS,NEUMAN SILVA,PREFEITO,242,NAO
ARCEBURGO,ANTONIO ROBERTO DA COSTA,PREFEITO,2661,NAO
ARCEBURGO,GILSON PEREIRA DE MELLO,PREFEITO,2832,SIM (2020)
ARCEBURGO,SERGIO DOS REIS PEREIRA BATISTA,PREFEITO,332,NAO
ARCOS,CLAUDENIR JOSÉ DE MELO,PREFEITO,12539,SIM (2020)
ARCOS,DENILSON FRANCISCO TEIXEIRA,PREFEITO,8486,NAO
AREADO,DOUGLAS ÁVILA MOREIRA,PREFEITO,6305,SIM (2020)
AREADO,FLAVIO RODRIGUES GOVEIA JUNIOR,PREFEITO,739,NAO
AREADO,PEDRO FRANCISCO DA SILVA,PREFEITO,1625,NAO
ARGIRITA,ALEX ANDRADE ANZOLIN,PREFEITO,1450,SIM (2020)
ARGIRITA,JOSÉ ALCINO VITOI JÚNIOR,PREFEITO,1028,NAO
ARICANDUVA,ENZO LAGES SEQUENZIA,PREFEITO,1332,NAO
ARICANDUVA,VALDEIR SANTOS COIMBRA,PREFEITO,2187,SIM (2020)
ARINOS,CARLOS ALBERTO RECCH FILHO,PREFEITO,3885,NAO
ARINOS,MARCÍLIO ÁLISSON FONSECA DE ALMEIDA,PREFEITO,5824,SIM (2020)
ASTOLFO DUTRA,ARCÍLIO VENÂNCIO RIBEIRO,PREFEITO,2804,NAO
ASTOLFO DUTRA,BRUNO RIBEIRO,PREFEITO,5505,SIM (2020)
ATALÉIA,GILSON BOTELHO BASTOS,PREFEITO,3770,SIM (2020)
ATALÉIA,KLÉBIO SILVA MARTINS,PREFEITO,285,NAO
ATALÉIA,TARIK BARBOSA,PREFEITO,3547,NAO
AUGUSTO DE LIMA,ANTONIO AUGUSTO PINTO FILHO,PREFEITO,1051,NAO
AUGUSTO DE LIMA,FABIANO HENRIQUE DOS PASSOS,PREFEITO,1398,SIM (2020)
AUGUSTO DE LIMA,JESUINO DO CARMO ALVIM,PREFEITO,839,NAO
AÇUCENA,GLAUCO SATHLER SIMAN,PREFEITO,1882,NAO
AÇUCENA,JANSEN SIMAN,PREFEITO,1145,NAO
AÇUCENA,RAULISSON MORAIS,PREFEITO,2584,SIM (2020)
BAEPENDI,DOUGLAS STADUTO SOUZA,PREFEITO,4397,SIM (2020)
BAEPENDI,JORGE ELIAS DE SOUZA LEMOS,PREFEITO,2511,NAO
BAEPENDI,KLAUS DIETRICH GUTH,PREFEITO,4044,NAO
BALDIM,ALEX VANDER DE SOUZA MARTINS,PREFEITO,1696,NAO
BALDIM,CLELIA DE CASTRO REIS,PREFEITO,141,NAO
BALDIM,FABRICIO ANDRADE MAGALHÃES,PREFEITO,1818,SIM (2020)
BALDIM,IVAN MARTINS DA COSTA DINIZ,PREFEITO,1772,NAO
BALDIM,LEONARDO FREITAS FRANCO,PREFEITO,81,NAO
BALDIM,RENATO EUSTAQUIO MOREIRA,PREFEITO,86,NAO
BALDIM,SAMUEL CRISTIAN LOPES SILVA,PREFEITO,12,NAO
BAMBUÍ,CRISTIANE ANDRADE COUTINHO,PREFEITO,580,NAO
BAMBUÍ,LELIS JORGE SILVA,PREFEITO,5375,NAO
BAMBUÍ,OLIVIO JOSÉ TEIXEIRA,PREFEITO,7523,SIM (2020)
BAMBUÍ,VICENTE DE PAULA FERREIRA,PREFEITO,435,NAO
BANDEIRA,EDUARDO LIMA NOVAIS,PREFEITO,1646,NAO
BANDEIRA,SIDNEI ALVES DOS SANTOS,PREFEITO,1858,SIM (2020)
BANDEIRA DO SUL,EDERVAN LEANDRO DE FREITAS,PREFEITO,2104,SIM (2020)
BANDEIRA DO SUL,JOSÉ DOS SANTOS,PREFEITO,1929,NAO
BARBACENA,AMARÍLIO AUGUSTO DE ANDRADE,PREFEITO,8301,NAO
